"studentnummer","sexe","etniciteit","huiswerk","schooltype","wiskundetoets","voldoende"
67,"vrouw","blank",6,"prive openbaar (geen religie)",62.9799995422363,"wiskundetoets WEL gehaald"
86,"man","blank",6,"publiek",43.2400016784668,"wiskundetoets niet gehaald"
34,"man","Zuid-Amerikaans",6,"publiek",56.2700004577637,"wiskundetoets WEL gehaald"
55,"vrouw","zwart",6,"publiek",46.7000007629395,"wiskundetoets niet gehaald"
39,"vrouw","blank",6,"publiek",46.7000007629395,"wiskundetoets niet gehaald"
9,"vrouw","blank",6,"publiek",67.7600021362305,"wiskundetoets WEL gehaald"
72,"vrouw","blank",6,"publiek",66.5100021362305,"wiskundetoets WEL gehaald"
76,"man","blank",6,"publiek",70.3399963378906,"wiskundetoets WEL gehaald"
27,"man","blank",6,"prive openbaar (geen religie)",70.0400009155273,"wiskundetoets WEL gehaald"
20,"vrouw","blank",6,"publiek",65.3300018310547,"wiskundetoets WEL gehaald"
78,"vrouw","blank",6,"publiek",60.689998626709,"wiskundetoets WEL gehaald"
85,"vrouw","zwart",6,"publiek",53.9900016784668,"wiskundetoets niet gehaald"
88,"man","blank",6,"publiek",40.810001373291,"wiskundetoets niet gehaald"
89,"vrouw","blank",6,"publiek",53.7700004577637,"wiskundetoets niet gehaald"
13,"vrouw","Zuid-Amerikaans",6,"publiek",59.5099983215332,"wiskundetoets WEL gehaald"
95,"vrouw","blank",6,"publiek",67.6900024414062,"wiskundetoets WEL gehaald"
58,"vrouw","blank",6,"publiek",60.689998626709,"wiskundetoets WEL gehaald"
36,"man","blank",6,"publiek",67.6900024414062,"wiskundetoets WEL gehaald"
64,"vrouw","blank",6,"prive katholiek",60.9900016784668,"wiskundetoets WEL gehaald"
92,"vrouw","blank",6,"prive katholiek",68.870002746582,"wiskundetoets WEL gehaald"
90,"man","blank",6,"prive katholiek",47.7299995422363,"wiskundetoets niet gehaald"
6,"man","blank",6,"prive openbaar (geen religie)",71.2200012207031,"wiskundetoets WEL gehaald"
11,"man","blank",6,"prive openbaar (geen religie)",58.560001373291,"wiskundetoets WEL gehaald"
34,"man","blank",6,"prive openbaar (geen religie)",58.560001373291,"wiskundetoets WEL gehaald"
57,"man","blank",6,"prive openbaar (geen religie)",59.5099983215332,"wiskundetoets WEL gehaald"
77,"man","blank",6,"prive openbaar (geen religie)",61.939998626709,"wiskundetoets WEL gehaald"
0,"man","blank",6,"prive openbaar (geen religie)",55.6100006103516,"wiskundetoets WEL gehaald"
45,"man","blank",6,"prive openbaar (geen religie)",47.8800010681152,"wiskundetoets niet gehaald"
77,"man","blank",6,"publiek",62.0200004577637,"wiskundetoets WEL gehaald"
56,"vrouw","Indiaan/Alaska",6,"publiek",59.810001373291,"wiskundetoets WEL gehaald"
92,"vrouw","blank",6,"publiek",67.6900024414062,"wiskundetoets WEL gehaald"
30,"vrouw","blank",6,"publiek",53.9199981689453,"wiskundetoets niet gehaald"
83,"man","blank",6,"publiek",50.2400016784668,"wiskundetoets niet gehaald"
27,"man","blank",6,"publiek",66.5800018310547,"wiskundetoets WEL gehaald"
20,"vrouw","Zuid-Amerikaans",6,"publiek",64.1500015258789,"wiskundetoets WEL gehaald"
54,"man","Zuid-Amerikaans",6,"publiek",71.2200012207031,"wiskundetoets WEL gehaald"
8,"man","blank",6,"prive andere religie",65.3300018310547,"wiskundetoets WEL gehaald"
36,"man","blank",6,"prive andere religie",65.4100036621094,"wiskundetoets WEL gehaald"
70,"man","zwart",6,"publiek",68.870002746582,"wiskundetoets WEL gehaald"
4,"man","blank",6,"publiek",49.2099990844727,"wiskundetoets niet gehaald"
32,"man","blank",6,"publiek",67.6900024414062,"wiskundetoets WEL gehaald"
76,"man","blank",6,"publiek",70.120002746582,"wiskundetoets WEL gehaald"
20,"vrouw","blank",6,"publiek",57.1599998474121,"wiskundetoets WEL gehaald"
76,"man","blank",6,"publiek",66.5100021362305,"wiskundetoets WEL gehaald"
89,"vrouw","blank",6,"publiek",71.2200012207031,"wiskundetoets WEL gehaald"
7,"man","blank",6,"publiek",56.3499984741211,"wiskundetoets WEL gehaald"
3,"man","blank",6,"publiek",41.9199981689453,"wiskundetoets niet gehaald"
18,"man","Aziatisch",6,"publiek",63.3400001525879,"wiskundetoets WEL gehaald"
37,"vrouw","blank",6,"publiek",68.870002746582,"wiskundetoets WEL gehaald"
97,"man","blank",6,"publiek",52.4500007629395,"wiskundetoets niet gehaald"
12,"vrouw","blank",6,"publiek",57.2299995422363,"wiskundetoets WEL gehaald"
34,"vrouw","blank",6,"publiek",59.5900001525879,"wiskundetoets WEL gehaald"
47,"man","blank",6,"publiek",45.5200004577637,"wiskundetoets niet gehaald"
51,"man","blank",6,"publiek",57.5999984741211,"wiskundetoets WEL gehaald"
9,"man","blank",6,"publiek",67.8300018310547,"wiskundetoets WEL gehaald"
71,"man","Aziatisch",6,"publiek",71.2200012207031,"wiskundetoets WEL gehaald"
97,"man","blank",6,"prive katholiek",64.1500015258789,"wiskundetoets WEL gehaald"
8,"man","blank",6,"prive katholiek",64.2300033569336,"wiskundetoets WEL gehaald"
20,"man","Aziatisch",6,"prive katholiek",63.3400001525879,"wiskundetoets WEL gehaald"
77,"man","blank",6,"prive katholiek",52.5900001525879,"wiskundetoets niet gehaald"
65,"man","blank",6,"prive openbaar (geen religie)",65.3300018310547,"wiskundetoets WEL gehaald"
7,"man","blank",6,"prive openbaar (geen religie)",64.5199966430664,"wiskundetoets WEL gehaald"
37,"vrouw","blank",6,"prive openbaar (geen religie)",67.6900024414062,"wiskundetoets WEL gehaald"
86,"vrouw","blank",6,"prive openbaar (geen religie)",63.2700004577637,"wiskundetoets WEL gehaald"
17,"vrouw","blank",6,"prive openbaar (geen religie)",52.2999992370605,"wiskundetoets niet gehaald"
19,"vrouw","zwart",6,"prive openbaar (geen religie)",70.0400009155273,"wiskundetoets WEL gehaald"
82,"vrouw","blank",6,"prive openbaar (geen religie)",66.5100021362305,"wiskundetoets WEL gehaald"
16,"man","blank",6,"publiek",43.2400016784668,"wiskundetoets niet gehaald"
66,"vrouw","blank",6,"prive openbaar (geen religie)",66.5100021362305,"wiskundetoets WEL gehaald"
80,"man","blank",6,"prive openbaar (geen religie)",52.4500007629395,"wiskundetoets niet gehaald"
96,"man","blank",6,"prive openbaar (geen religie)",63.0499992370605,"wiskundetoets WEL gehaald"
48,"vrouw","blank",6,"publiek",60.7700004577637,"wiskundetoets WEL gehaald"
99,"man","blank",6,"publiek",44.3499984741211,"wiskundetoets niet gehaald"
89,"man","Aziatisch",6,"publiek",62.9799995422363,"wiskundetoets WEL gehaald"
39,"vrouw","Aziatisch",6,"publiek",50.1599998474121,"wiskundetoets niet gehaald"
69,"vrouw","blank",6,"prive openbaar (geen religie)",66.8000030517578,"wiskundetoets WEL gehaald"
53,"vrouw","blank",6,"prive openbaar (geen religie)",66.5100021362305,"wiskundetoets WEL gehaald"
69,"vrouw","zwart",6,"publiek",39.6300010681152,"wiskundetoets niet gehaald"
86,"man","blank",6,"publiek",38.9000015258789,"wiskundetoets niet gehaald"
92,"man","blank",6,"publiek",41.9199981689453,"wiskundetoets niet gehaald"
79,"vrouw","blank",6,"publiek",59.5900001525879,"wiskundetoets WEL gehaald"
93,"vrouw","blank",6,"publiek",53.7000007629395,"wiskundetoets niet gehaald"
60,"man","blank",6,"publiek",51.3400001525879,"wiskundetoets niet gehaald"
18,"man","blank",6,"prive katholiek",56.0499992370605,"wiskundetoets WEL gehaald"
99,"vrouw","blank",6,"publiek",34.1800003051758,"wiskundetoets niet gehaald"
68,"vrouw","blank",6,"publiek",58.4099998474121,"wiskundetoets WEL gehaald"
59,"man","blank",6,"publiek",51.560001373291,"wiskundetoets niet gehaald"
68,"vrouw","blank",6,"publiek",47.8800010681152,"wiskundetoets niet gehaald"
49,"man","blank",6,"publiek",64.2300033569336,"wiskundetoets WEL gehaald"
3,"vrouw","blank",6,"publiek",54.8800010681152,"wiskundetoets niet gehaald"
85,"vrouw","blank",6,"publiek",60.689998626709,"wiskundetoets WEL gehaald"
28,"man","blank",5,"prive katholiek",56.5,"wiskundetoets WEL gehaald"
65,"man","blank",5,"publiek",64.4499969482422,"wiskundetoets WEL gehaald"
4,"man","blank",5,"publiek",65.4100036621094,"wiskundetoets WEL gehaald"
49,"vrouw","blank",5,"publiek",56.3499984741211,"wiskundetoets WEL gehaald"
83,"man","blank",5,"publiek",61.8699989318848,"wiskundetoets WEL gehaald"
27,"vrouw","blank",5,"prive katholiek",64.3000030517578,"wiskundetoets WEL gehaald"
96,"vrouw","blank",5,"prive katholiek",45.5999984741211,"wiskundetoets niet gehaald"
29,"man","blank",5,"publiek",42.2099990844727,"wiskundetoets niet gehaald"
41,"vrouw","blank",5,"publiek",57.0800018310547,"wiskundetoets WEL gehaald"
68,"vrouw","blank",5,"publiek",66.5800018310547,"wiskundetoets WEL gehaald"
78,"vrouw","blank",5,"publiek",47.9500007629395,"wiskundetoets niet gehaald"
80,"vrouw","Zuid-Amerikaans",5,"prive katholiek",50.75,"wiskundetoets niet gehaald"
20,"man","blank",5,"prive katholiek",44.5699996948242,"wiskundetoets niet gehaald"
32,"vrouw","blank",5,"prive katholiek",52.5200004577637,"wiskundetoets niet gehaald"
53,"vrouw","blank",5,"prive katholiek",43.1699981689453,"wiskundetoets niet gehaald"
48,"vrouw","blank",5,"prive openbaar (geen religie)",56.6399993896484,"wiskundetoets WEL gehaald"
20,"vrouw","blank",5,"prive andere religie",57.0800018310547,"wiskundetoets WEL gehaald"
23,"man","blank",5,"prive andere religie",71.2200012207031,"wiskundetoets WEL gehaald"
46,"man","blank",5,"publiek",66.5800018310547,"wiskundetoets WEL gehaald"
25,"vrouw","blank",5,"publiek",69.1600036621094,"wiskundetoets WEL gehaald"
37,"vrouw","blank",5,"publiek",70.0400009155273,"wiskundetoets WEL gehaald"
44,"man","blank",5,"publiek",42.3600006103516,"wiskundetoets niet gehaald"
2,"man","blank",5,"publiek",62.9799995422363,"wiskundetoets WEL gehaald"
90,"man","zwart",5,"publiek",46.9199981689453,"wiskundetoets niet gehaald"
2,"man","Aziatisch",5,"publiek",50.1599998474121,"wiskundetoets niet gehaald"
9,"vrouw","blank",5,"publiek",52.6699981689453,"wiskundetoets niet gehaald"
44,"man","blank",5,"publiek",65.629997253418,"wiskundetoets WEL gehaald"
45,"man","blank",5,"publiek",59.5900001525879,"wiskundetoets WEL gehaald"
80,"vrouw","Aziatisch",5,"publiek",59.439998626709,"wiskundetoets WEL gehaald"
49,"man","blank",5,"publiek",66.5100021362305,"wiskundetoets WEL gehaald"
78,"man","blank",5,"publiek",41.9900016784668,"wiskundetoets niet gehaald"
86,"vrouw","blank",5,"publiek",67.6900024414062,"wiskundetoets WEL gehaald"
26,"vrouw","blank",5,"publiek",65.3300018310547,"wiskundetoets WEL gehaald"
24,"vrouw","blank",5,"publiek",64.1500015258789,"wiskundetoets WEL gehaald"
30,"man","blank",5,"publiek",68.9400024414062,"wiskundetoets WEL gehaald"
91,"vrouw","blank",5,"publiek",64.370002746582,"wiskundetoets WEL gehaald"
16,"vrouw","blank",5,"publiek",61.8699989318848,"wiskundetoets WEL gehaald"
57,"vrouw","blank",5,"publiek",50.1599998474121,"wiskundetoets niet gehaald"
10,"man","blank",5,"publiek",53.9900016784668,"wiskundetoets niet gehaald"
7,"vrouw","blank",5,"publiek",58.9300003051758,"wiskundetoets WEL gehaald"
73,"man","blank",5,"publiek",51.2700004577637,"wiskundetoets niet gehaald"
31,"man","blank",5,"publiek",71.2200012207031,"wiskundetoets WEL gehaald"
63,"vrouw","Aziatisch",5,"publiek",63.0499992370605,"wiskundetoets WEL gehaald"
8,"vrouw","blank",5,"publiek",67.6900024414062,"wiskundetoets WEL gehaald"
1,"vrouw","blank",5,"publiek",63.0499992370605,"wiskundetoets WEL gehaald"
27,"man","blank",5,"publiek",38.3800010681152,"wiskundetoets niet gehaald"
65,"man","blank",5,"publiek",69.1600036621094,"wiskundetoets WEL gehaald"
81,"man","blank",5,"publiek",36.0999984741211,"wiskundetoets niet gehaald"
87,"vrouw","blank",5,"publiek",36.1699981689453,"wiskundetoets niet gehaald"
19,"man","Zuid-Amerikaans",5,"publiek",48.0299987792969,"wiskundetoets niet gehaald"
25,"man","zwart",5,"publiek",41.1100006103516,"wiskundetoets niet gehaald"
33,"vrouw","blank",5,"publiek",48.8400001525879,"wiskundetoets niet gehaald"
85,"man","Zuid-Amerikaans",5,"publiek",50.0200004577637,"wiskundetoets niet gehaald"
85,"man","blank",5,"publiek",66.5800018310547,"wiskundetoets WEL gehaald"
69,"man","blank",5,"publiek",47.810001373291,"wiskundetoets niet gehaald"
8,"man","blank",5,"publiek",70.0400009155273,"wiskundetoets WEL gehaald"
52,"vrouw","blank",5,"publiek",48.4700012207031,"wiskundetoets niet gehaald"
53,"vrouw","Indiaan/Alaska",5,"publiek",70.0400009155273,"wiskundetoets WEL gehaald"
9,"vrouw","blank",5,"publiek",58.3400001525879,"wiskundetoets WEL gehaald"
20,"man","blank",5,"publiek",61.7999992370605,"wiskundetoets WEL gehaald"
60,"man","blank",5,"publiek",51.3400001525879,"wiskundetoets niet gehaald"
75,"man","blank",5,"publiek",52.4500007629395,"wiskundetoets niet gehaald"
36,"vrouw","blank",5,"publiek",69.1600036621094,"wiskundetoets WEL gehaald"
59,"vrouw","blank",5,"publiek",54.8800010681152,"wiskundetoets niet gehaald"
74,"vrouw","blank",5,"publiek",60.689998626709,"wiskundetoets WEL gehaald"
40,"man","blank",5,"prive katholiek",39.8499984741211,"wiskundetoets niet gehaald"
13,"man","blank",5,"publiek",43.3899993896484,"wiskundetoets niet gehaald"
90,"man","blank",5,"publiek",51.189998626709,"wiskundetoets niet gehaald"
92,"vrouw","blank",5,"publiek",53.9900016784668,"wiskundetoets niet gehaald"
7,"man","blank",5,"prive katholiek",61.060001373291,"wiskundetoets WEL gehaald"
25,"man","blank",5,"prive openbaar (geen religie)",59.5099983215332,"wiskundetoets WEL gehaald"
61,"vrouw","zwart",5,"prive openbaar (geen religie)",60.9900016784668,"wiskundetoets WEL gehaald"
70,"vrouw","Aziatisch",5,"prive openbaar (geen religie)",65.3300018310547,"wiskundetoets WEL gehaald"
76,"vrouw","blank",5,"prive andere religie",70.0400009155273,"wiskundetoets WEL gehaald"
42,"man","zwart",5,"prive andere religie",63.0499992370605,"wiskundetoets WEL gehaald"
11,"man","blank",5,"prive katholiek",58.4799995422363,"wiskundetoets WEL gehaald"
16,"man","zwart",5,"prive katholiek",55.4700012207031,"wiskundetoets WEL gehaald"
23,"man","zwart",5,"prive katholiek",50.4599990844727,"wiskundetoets niet gehaald"
84,"man","Aziatisch",5,"prive katholiek",68.9400024414062,"wiskundetoets WEL gehaald"
95,"man","blank",5,"prive katholiek",54.2900009155273,"wiskundetoets niet gehaald"
45,"man","blank",5,"prive katholiek",57.5299987792969,"wiskundetoets WEL gehaald"
96,"vrouw","zwart",5,"prive katholiek",51.3400001525879,"wiskundetoets niet gehaald"
76,"vrouw","Zuid-Amerikaans",5,"prive katholiek",56.2700004577637,"wiskundetoets WEL gehaald"
42,"vrouw","Zuid-Amerikaans",5,"prive katholiek",59.5900001525879,"wiskundetoets WEL gehaald"
49,"man","Indiaan/Alaska",5,"prive katholiek",64.370002746582,"wiskundetoets WEL gehaald"
51,"vrouw","zwart",5,"prive katholiek",55.3199996948242,"wiskundetoets WEL gehaald"
5,"man","blank",5,"prive katholiek",40,"wiskundetoets niet gehaald"
13,"vrouw","blank",5,"prive katholiek",49.060001373291,"wiskundetoets niet gehaald"
10,"vrouw","blank",5,"prive katholiek",50.6100006103516,"wiskundetoets niet gehaald"
22,"vrouw","blank",5,"prive katholiek",44.4199981689453,"wiskundetoets niet gehaald"
28,"vrouw","blank",5,"prive katholiek",58.3400001525879,"wiskundetoets WEL gehaald"
22,"vrouw","blank",5,"prive katholiek",46.7000007629395,"wiskundetoets niet gehaald"
37,"man","blank",5,"prive katholiek",63.1199989318848,"wiskundetoets WEL gehaald"
63,"man","blank",5,"prive katholiek",43.2400016784668,"wiskundetoets niet gehaald"
74,"vrouw","blank",5,"prive katholiek",57.2299995422363,"wiskundetoets WEL gehaald"
76,"man","blank",5,"prive katholiek",44.4900016784668,"wiskundetoets niet gehaald"
81,"man","blank",5,"prive katholiek",57.2299995422363,"wiskundetoets WEL gehaald"
48,"man","blank",5,"prive katholiek",46.7000007629395,"wiskundetoets niet gehaald"
53,"vrouw","blank",5,"prive katholiek",50.9000015258789,"wiskundetoets niet gehaald"
2,"man","blank",5,"prive openbaar (geen religie)",55.3899993896484,"wiskundetoets WEL gehaald"
31,"man","blank",5,"prive openbaar (geen religie)",64.2300033569336,"wiskundetoets WEL gehaald"
35,"man","blank",5,"prive openbaar (geen religie)",63.0499992370605,"wiskundetoets WEL gehaald"
38,"vrouw","blank",5,"prive openbaar (geen religie)",65.4100036621094,"wiskundetoets WEL gehaald"
41,"man","blank",5,"prive openbaar (geen religie)",60.689998626709,"wiskundetoets WEL gehaald"
44,"man","blank",5,"prive openbaar (geen religie)",61.7999992370605,"wiskundetoets WEL gehaald"
50,"vrouw","blank",5,"prive openbaar (geen religie)",66.5100021362305,"wiskundetoets WEL gehaald"
67,"vrouw","blank",5,"prive openbaar (geen religie)",58.6300010681152,"wiskundetoets WEL gehaald"
72,"vrouw","blank",5,"prive openbaar (geen religie)",70.0400009155273,"wiskundetoets WEL gehaald"
78,"man","blank",5,"prive openbaar (geen religie)",70.0400009155273,"wiskundetoets WEL gehaald"
3,"man","blank",5,"prive openbaar (geen religie)",68.9400024414062,"wiskundetoets WEL gehaald"
16,"vrouw","blank",5,"prive openbaar (geen religie)",66.5800018310547,"wiskundetoets WEL gehaald"
38,"man","blank",5,"prive openbaar (geen religie)",70.0400009155273,"wiskundetoets WEL gehaald"
3,"man","blank",5,"prive openbaar (geen religie)",68.9400024414062,"wiskundetoets WEL gehaald"
52,"vrouw","blank",5,"prive openbaar (geen religie)",64.3000030517578,"wiskundetoets WEL gehaald"
75,"vrouw","blank",5,"prive openbaar (geen religie)",59.5099983215332,"wiskundetoets WEL gehaald"
84,"vrouw","blank",5,"prive openbaar (geen religie)",68.870002746582,"wiskundetoets WEL gehaald"
87,"man","blank",5,"prive openbaar (geen religie)",70.0400009155273,"wiskundetoets WEL gehaald"
88,"man","blank",5,"prive openbaar (geen religie)",68.870002746582,"wiskundetoets WEL gehaald"
92,"vrouw","Zuid-Amerikaans",5,"prive openbaar (geen religie)",45.3800010681152,"wiskundetoets niet gehaald"
16,"man","blank",5,"prive openbaar (geen religie)",66.5800018310547,"wiskundetoets WEL gehaald"
80,"man","Aziatisch",5,"prive openbaar (geen religie)",67.6900024414062,"wiskundetoets WEL gehaald"
86,"man","blank",5,"prive openbaar (geen religie)",65.629997253418,"wiskundetoets WEL gehaald"
10,"vrouw","blank",5,"prive openbaar (geen religie)",64.5999984741211,"wiskundetoets WEL gehaald"
18,"vrouw","blank",5,"prive openbaar (geen religie)",63.1199989318848,"wiskundetoets WEL gehaald"
37,"man","blank",5,"prive openbaar (geen religie)",67.6900024414062,"wiskundetoets WEL gehaald"
38,"vrouw","blank",5,"prive openbaar (geen religie)",67.7600021362305,"wiskundetoets WEL gehaald"
66,"vrouw","blank",5,"prive openbaar (geen religie)",70.0400009155273,"wiskundetoets WEL gehaald"
79,"vrouw","blank",5,"prive openbaar (geen religie)",68.870002746582,"wiskundetoets WEL gehaald"
89,"vrouw","blank",5,"prive openbaar (geen religie)",63.7099990844727,"wiskundetoets WEL gehaald"
0,"man","blank",5,"prive openbaar (geen religie)",67.6900024414062,"wiskundetoets WEL gehaald"
67,"man","blank",5,"prive openbaar (geen religie)",67.6900024414062,"wiskundetoets WEL gehaald"
85,"man","blank",5,"prive openbaar (geen religie)",58.4099998474121,"wiskundetoets WEL gehaald"
11,"vrouw","blank",5,"prive openbaar (geen religie)",64.2300033569336,"wiskundetoets WEL gehaald"
17,"vrouw","blank",5,"prive openbaar (geen religie)",61.6500015258789,"wiskundetoets WEL gehaald"
24,"vrouw","blank",5,"prive openbaar (geen religie)",66.5100021362305,"wiskundetoets WEL gehaald"
73,"vrouw","blank",5,"prive openbaar (geen religie)",54.8800010681152,"wiskundetoets niet gehaald"
13,"man","Indiaan/Alaska",5,"prive openbaar (geen religie)",59.5099983215332,"wiskundetoets WEL gehaald"
15,"man","Aziatisch",5,"prive openbaar (geen religie)",66.2200012207031,"wiskundetoets WEL gehaald"
16,"man","blank",5,"prive openbaar (geen religie)",67.6900024414062,"wiskundetoets WEL gehaald"
52,"man","blank",5,"prive openbaar (geen religie)",50.5299987792969,"wiskundetoets niet gehaald"
97,"man","blank",5,"prive openbaar (geen religie)",54.7999992370605,"wiskundetoets niet gehaald"
15,"man","blank",5,"prive openbaar (geen religie)",65.4100036621094,"wiskundetoets WEL gehaald"
51,"man","blank",5,"prive openbaar (geen religie)",65.4100036621094,"wiskundetoets WEL gehaald"
70,"man","blank",5,"prive openbaar (geen religie)",62.9799995422363,"wiskundetoets WEL gehaald"
80,"man","blank",5,"prive openbaar (geen religie)",65.3300018310547,"wiskundetoets WEL gehaald"
84,"man","blank",5,"prive openbaar (geen religie)",67.6900024414062,"wiskundetoets WEL gehaald"
1,"vrouw","blank",5,"prive katholiek",60.7700004577637,"wiskundetoets WEL gehaald"
51,"man","blank",5,"prive katholiek",51.4099998474121,"wiskundetoets niet gehaald"
18,"vrouw","blank",5,"prive katholiek",50.75,"wiskundetoets niet gehaald"
42,"vrouw","blank",5,"prive katholiek",51.3400001525879,"wiskundetoets niet gehaald"
61,"man","blank",5,"prive katholiek",53.6199989318848,"wiskundetoets niet gehaald"
16,"vrouw","blank",5,"prive katholiek",42.060001373291,"wiskundetoets niet gehaald"
81,"man","blank",5,"prive katholiek",57.1599998474121,"wiskundetoets WEL gehaald"
15,"man","blank",5,"prive katholiek",66.5100021362305,"wiskundetoets WEL gehaald"
9,"man","blank",5,"prive openbaar (geen religie)",58.3400001525879,"wiskundetoets WEL gehaald"
48,"man","blank",5,"prive openbaar (geen religie)",68.870002746582,"wiskundetoets WEL gehaald"
